,Water_Volumn,ET,GPP,LST_DAY,NPP,PRECIPITATION,Soil_moisture,SRAD,TEM,Snow_cover,Wind_speed,Vap,NDVI,Nighttime,CO2
2019/1/1,159329023348106.00 ,2681.689064,1256.602755,-5.668033279,24.23845193,958.5177329,11.62734506,116.8547558,-8.765357577,52.05501124,2.742763833,0.053999913,0.06295697,1.757408269,409.92
2019/2/1,159329137209076.00 ,4048.395198,1256.602755,-1.071989547,24.23845193,2017.701419,11.63208486,151.5660695,-1.865145904,58.49370722,3.617122683,0.07211902,0.061864978,1.757408269,410.34
2019/3/1,167539975071917.00 ,6081.11164,1256.602755,8.487625084,24.23845193,410.2835787,11.63468715,201.3181574,-4.828980829,56.71014067,2.434486125,0.088806675,0.063572317,1.757408269,410.89
2019/4/1,150377147418168.00 ,11430.69033,1256.602755,19.06994926,24.23845193,1050.169468,12.09393233,237.9992381,-8.155199633,36.57289917,1.670528607,0.174326736,0.0803251,1.757408269,411.33
2019/5/1,98317086177355.10 ,16666.33933,1256.602755,19.6902595,24.23845193,987.8349226,11.07696436,252.4980903,-7.508589204,22.53761999,1.812312279,0.234920242,0.095069987,1.757408269,411.34
2019/6/1,98319264432537.00 ,21855.49907,1256.602755,23.4048041,24.23845193,1738.172468,10.63917557,250.9154944,-5.848619524,13.11344884,1.5786612,0.381677026,0.125445296,1.757408269,410.53
2019/7/1,95489452445907.20 ,30901.41912,1256.602755,21.16825648,24.23845193,1730.227484,11.08128105,217.3291641,-2.238259024,8.47474846,1.112177355,0.508006356,0.166039738,1.757408269,408.88
2019/8/1,95492338479363.60 ,33733.94912,1256.602755,22.55435915,24.23845193,3094.226107,8.809762851,204.2632973,-0.193634205,3.485869306,0.738581186,0.586336776,0.177477024,1.757408269,407.64
2019/9/1,102644126875158.00 ,25106.23899,1256.602755,19.55536443,24.23845193,5908.283379,7.810458679,198.4064853,2.302767817,9.194672867,1.115836311,0.408026602,0.137015315,1.757408269,407.92
2019/10/1,113958657927413.00 ,12847.5486,1256.602755,11.15277404,24.23845193,14242.28111,7.500660037,173.5727631,3.397446788,20.69468871,1.784577981,0.16815946,0.100921362,1.757408269,409.44
2019/11/1,131160419854727.00 ,5055.448946,1256.602755,4.886301908,24.23845193,10409.10466,7.408134459,136.0412586,3.550100744,26.18853815,3.049748399,0.097817718,0.088880395,1.757408269,410.87
2019/12/1,131156215843222.00 ,2267.330201,1256.602755,-3.53540805,24.23845193,7103.051935,7.408134459,118.3777702,1.761574072,37.18028575,2.304669407,0.042427714,0.068877567,1.757408269,411.76
2020/1/1,159772746527482.00 ,2988.461255,1258.963265,-7.064570394,26.4526656,1179.776088,7.408134459,117.9683315,-8.744459445,53.53422606,2.690723242,0.060628911,0.048372355,2.00792129,412.43
2020/2/1,159775746372683.00 ,3799.268419,1258.963265,2.323267144,26.4526656,1993.486268,7.410986581,160.3269134,-1.464699809,47.10291347,1.936648669,0.071085121,0.062070449,2.00792129,412.95
2020/3/1,119341295033476.00 ,6242.563706,1258.963265,9.57765459,26.4526656,258.2333363,7.438025359,191.8466754,-5.541600551,36.90984149,2.528537118,0.111483206,0.070212363,2.00792129,413.44
2020/4/1,124733039803143.00 ,9793.545582,1258.963265,18.10036522,26.4526656,301.2019682,7.68589667,225.4326315,-7.508641878,33.01316932,1.263391006,0.135136397,0.074572842,2.00792129,413.86
2020/5/1,124446006545752.00 ,16901.02537,1258.963265,19.64577964,26.4526656,580.23928,8.457688692,248.0096303,-7.75497215,25.27273048,1.24254511,0.210258082,0.085919309,2.00792129,413.81
2020/6/1,124448903087133.00 ,24746.35954,1258.963265,21.97680596,26.4526656,982.4842356,11.32222984,241.7166106,-5.475208167,16.08238595,1.520189918,0.469522676,0.134981355,2.00792129,412.88
2020/7/1,89198052389600.10 ,29613.07574,1258.963265,23.86927145,26.4526656,2547.02909,12.91413513,211.5961498,-3.107832456,3.815962947,1.242444281,0.650706001,0.179992251,2.00792129,411.17
2020/8/1,89201729163184.80 ,34199.88775,1258.963265,24.26706285,26.4526656,3644.203323,10.26660789,208.840444,-0.418536279,2.708132663,0.768045136,0.747831861,0.181960111,2.00792129,409.73
2020/9/1,92574376905319.70 ,23838.74249,1258.963265,23.26468894,26.4526656,7578.581642,7.891881792,201.7268708,2.327959141,2.756209481,1.506510518,0.48486465,0.141209962,2.00792129,410
2020/10/1,94671340748557.70 ,11826.91873,1258.963265,15.61447154,26.4526656,12598.57784,6.565859115,188.9399617,3.661801949,2.125443589,2.483522686,0.178331931,0.111831751,2.00792129,411.66
2020/11/1,107962080218163.00 ,3675.543813,1258.963265,4.380321216,26.4526656,9808.986192,6.521743203,135.3573988,3.591129076,11.16378909,2.916442335,0.082641292,0.094748437,2.00792129,413.25
2020/12/1,107959754230620.00 ,1932.103466,1258.963265,-0.810721854,26.4526656,4527.627588,6.518308931,118.3463044,1.931594279,16.74787016,3.417744172,0.058712969,0.09358536,2.00792129,414.14
2021/1/1,108305580570903.00 ,1820.315623,1258.858514,-0.314820778,26.32741138,828.5354917,6.511312551,121.9011327,-8.130185027,16.25846836,3.058880757,0.057143118,0.090375408,0.258216426,414.74
2021/2/1,108305554908208.00 ,2428.083229,1258.858514,6.448263528,26.32741138,1744.660849,6.495312952,153.6107223,-1.414155571,15.4587296,2.42697838,0.069813912,0.089203231,0.272074802,415.2
2021/3/1,121539980988285.00 ,4323.490225,1258.858514,12.86159213,26.32741138,263.369195,6.478663038,189.9853463,-5.834970004,9.85983469,2.849671729,0.105437724,0.087170788,0.275080503,415.49
2021/4/1,158608412828667.00 ,8373.546141,1258.858514,16.22582343,26.32741138,630.9773641,6.406965057,228.5743908,-8.027729779,29.59008294,2.30538104,0.119799332,0.083908267,0.324326226,415.81
2021/5/1,204950583537126.00 ,17830.82025,1258.858514,19.71665236,26.32741138,1247.165197,6.530860943,251.3392983,-6.940664032,28.1738082,1.179572448,0.259457412,0.087606953,0.355368972,416.01
2021/6/1,204951871991141.00 ,27421.30338,1258.858514,21.16989536,26.32741138,1753.412821,7.504124343,247.9923788,-4.751373619,13.53677443,1.152100716,0.571670137,0.138408562,6218.483063,415.2
2021/7/1,94311920966831.60 ,33586.30059,1258.858514,24.61645488,26.32741138,1660.893042,7.334160199,220.3634387,-3.077630045,2.959214575,1.019355834,0.698002838,0.179524891,0.332943137,413.45
2021/8/1,94315334478495.20 ,32828.99622,1258.858514,20.0474461,26.32741138,3812.725412,9.46555427,207.294655,-0.176567399,3.990024395,1.047986837,0.815893302,0.177653318,0.402122346,412.15
2021/9/1,126770307486471.00 ,24476.52261,1258.858514,19.72058251,26.32741138,7167.869784,8.702496278,197.3931593,2.553382138,10.0286158,0.772444369,0.521090624,0.141686337,0.311701296,412.38
2021/10/1,132753683883620.00 ,14556.97232,1258.858514,14.03581437,26.32741138,11973.88627,7.622756766,177.4979181,3.910651711,20.30522358,2.003960186,0.231424554,0.108002917,0.405724967,413.83
2021/11/1,225839349689683.00 ,4296.622815,1258.858514,3.563018002,26.32741138,11228.45847,7.581449464,142.2204747,3.535236778,25.67759518,2.349577662,0.08354018,0.074865944,0.381162697,415.58
2021/12/1,225834607724770.00 ,2367.283197,1258.858514,-6.922449136,26.32741138,7181.352326,7.580927243,116.2630938,1.736017647,32.22759403,2.044740675,0.065515274,0.049787398,0.441512336,416.6
2022/1/1,394289991463375.00 ,2712.677024,1260.12625,-7.372327218,28.24936598,779.4802895,7.580927243,121.3529743,-8.917068192,38.09295787,2.276107571,0.066386744,0.044279934,0.338047192,417.18
2022/2/1,394290575178082.00 ,3666.378284,1260.12625,-2.697413374,28.24936598,2522.711959,7.580969882,151.2355979,-1.846152354,48.39721684,2.632416204,0.072793269,0.049392657,0.383133751,417.64
2022/3/1,187590233805892.00 ,7342.930761,1260.12625,15.88709807,28.24936598,295.9981297,7.584016995,203.4013789,-5.198770253,20.04551104,2.739737312,0.119504547,0.078752387,0.376331316,418.16
2022/4/1,192357017287885.00 ,9757.3845,1260.12625,20.13800002,28.24936598,378.6266206,7.545528516,226.2390205,-7.551601122,11.771655,2.273822068,0.145541131,0.086381172,0.413523745,418.58
2022/5/1,251931533120289.00 ,19236.29266,1260.12625,22.13209923,28.24936598,1942.77063,7.290779824,240.5685075,-8.525923034,16.68954234,1.079639428,0.303568705,0.100207426,0.387074606,418.45
2022/6/1,251936352817626.00 ,26008.9698,1260.12625,24.33666886,28.24936598,576.2473686,7.682743308,241.3566238,-4.354090182,9.090126705,1.377160876,0.590439728,0.141142501,0.231183075,417.43
2022/7/1,135534085399849.00 ,33134.97258,1260.12625,28.18895821,28.24936598,2437.201279,6.060469074,234.2422051,-2.111606907,2.152207481,0.892980724,0.635034813,0.167591824,0.110356264,415.67
2022/8/1,135537372538707.00 ,35591.89131,1260.12625,23.07053477,28.24936598,4456.836304,6.093959572,198.0035003,0.341427369,1.920958188,0.967087206,0.995508634,0.167928704,0.249710938,414.4
2022/9/1,225541759207013.00 ,23984.45677,1260.12625,15.55188725,28.24936598,6295.273614,6.519867112,184.9292773,2.737861032,14.89748175,0.759046958,0.615175698,0.12820757,0.423993843,414.62
2022/10/1,219425887526628.00 ,12301.41616,1260.12625,8.535124825,28.24936598,9205.380149,6.54960432,173.9698901,4.042723208,41.29476899,1.281742442,0.234901197,0.062639367,0.382187215,416.13
2022/11/1,201335223222347.00 ,5085.306029,1260.12625,3.415321564,28.24936598,9205.509681,6.480307971,141.7349147,3.372575968,34.21703889,2.536338731,0.110938318,0.073919725,0.425667917,417.84
2022/12/1,201330354386914.00 ,2395.500885,1260.12625,-0.883887766,28.24936598,7470.998078,6.47416714,120.7628027,1.701521077,20.54417883,2.831803428,0.058713225,0.085857379,0.361347837,418.92
2023/1/1,167714547370820.00 ,2381.601823,1257.875692,-2.411458889,25.867686,547.6207192,6.470372428,125.1213129,-8.323699488,22.81302841,3.301389024,0.057145127,0.083452586,0.334308041,419.38
2023/2/1,167714536902418.00 ,2982.410446,1257.875692,3.782070917,25.867686,2046.887396,6.437551725,150.8371761,-1.752112584,20.71333229,3.109753837,0.079529057,0.08027345,0.302175215,419.65
2023/3/1,225197360721020.00 ,7022.399375,1257.875692,10.11743077,25.867686,447.5154676,6.455580173,183.4757066,-5.323762024,25.42698737,1.954984524,0.146615592,0.075005136,0.350544142,419.98
2023/4/1,237918869896511.00 ,11729.34463,1257.875692,17.96843729,25.867686,522.0873964,6.489175199,229.6920184,-7.326594643,27.56121122,2.030377099,0.154955125,0.080695737,0.351673725,420.5
2023/5/1,302563710778285.00 ,16810.90568,1257.875692,16.87388172,25.867686,542.4068012,6.7118309,256.4739622,-6.678576389,34.37916353,1.470354517,0.222093267,0.083278549,0.398679449,420.57
2023/6/1,302575021631165.00 ,24862.73206,1257.875692,19.74234532,25.867686,1193.365167,10.79981806,244.3163947,-5.116923457,17.53044956,1.246681324,0.542712203,0.129154499,0.210242561,419.58
2023/7/1,194781637211578.00 ,33492.29902,1257.875692,21.19824128,25.867686,1654.127273,13.0888797,209.2164118,-2.873885175,4.034983954,0.982650346,0.775185768,0.179266955,0.322744766,417.92
2023/8/1,194789315271169.00 ,33462.37099,1257.875692,19.12189782,25.867686,2690.610293,13.97382542,187.891349,-0.561821185,3.804815213,1.01960403,0.941814021,0.196234376,0.406893359,416.77
2023/9/1,124852074848375.00 ,26428.45352,1257.875692,18.40319897,25.867686,7406.156617,10.68925645,199.6714128,2.351371021,7.145146765,1.1446154,0.561432372,0.150986936,0.464558372,417.17
2023/10/1,159635251115074.00 ,12200.21007,1257.875692,8.548687924,25.867686,11562.42804,10.53425214,174.0638846,3.701637276,31.28677969,1.159278938,0.21732544,0.077107615,0.530710469,418.84
2023/11/1,315274320941727.00 ,4442.220835,1257.875692,3.552134795,25.867686,11813.84291,10.52448897,143.2387783,3.779917487,33.73181146,1.406681515,0.118411122,0.075306314,0.483933077,420.4
2023/12/1,315270377672833.00 ,2489.231312,1257.875692,-2.312322578,25.867686,6110.425702,10.52441184,118.7648569,1.896067744,31.21826331,2.205116421,0.070991438,0.082833317,0.401490254,421.51
